Nivel,NOMBRE,Year,SEMANA_REGISTRO,No requiere,Por supervisor,Por CCMC,Year_Semana
DISTRITO,PUE LA NORIA,2022,21,4,1,0,2022-21
DISTRITO,PUE LORETO,2022,19,5,0,1,2022-19
DISTRITO,PUE LORETO,2022,20,7,0,0,2022-20
DISTRITO,PUE LORETO,2022,21,3,0,1,2022-21
DISTRITO,PUERTO VALLARTA,2022,19,0,0,0,2022-19
DISTRITO,PUERTO VALLARTA,2022,20,4,0,0,2022-20
DISTRITO,PUERTO VALLARTA,2022,21,6,0,0,2022-21
DISTRITO,QUERETARO CORREGIDORA,2022,20,0,0,0,2022-20
DISTRITO,QUERETARO CORREGIDORA,2022,21,1,0,0,2022-21
DISTRITO,QUERETARO SANTIAGO,2022,19,1,0,0,2022-19
DISTRITO,QUERETARO SANTIAGO,2022,20,1,0,1,2022-20
DISTRITO,QUERETARO SANTIAGO,2022,21,1,1,0,2022-21
DISTRITO,REYNOSA,2022,19,0,0,0,2022-19
DISTRITO,REYNOSA,2022,20,3,0,1,2022-20
DISTRITO,REYNOSA,2022,21,2,2,0,2022-21
DISTRITO,SALTILLO,2022,19,14,0,0,2022-19
DISTRITO,SALTILLO,2022,20,6,0,2,2022-20
DISTRITO,SALTILLO,2022,21,6,0,2,2022-21
DISTRITO,SAN LUIS POTOSI ORIENTE,2022,19,4,0,0,2022-19
DISTRITO,SAN LUIS POTOSI ORIENTE,2022,20,1,0,0,2022-20
DISTRITO,SAN LUIS POTOSI ORIENTE,2022,21,5,0,0,2022-21
DISTRITO,SAN LUIS POTOSI PONIENTE,2022,19,1,0,0,2022-19
DISTRITO,SAN LUIS POTOSI PONIENTE,2022,20,3,0,0,2022-20
DISTRITO,SAN LUIS POTOSI PONIENTE,2022,21,1,0,0,2022-21
DISTRITO,SANTA FE,2022,19,1,0,0,2022-19
DISTRITO,SANTA FE,2022,20,3,0,0,2022-20
DISTRITO,SANTA FE,2022,21,3,0,0,2022-21
DISTRITO,SATELITE,2022,19,2,0,0,2022-19
DISTRITO,SATELITE,2022,20,4,0,0,2022-20
DISTRITO,SATELITE,2022,21,5,0,0,2022-21
DISTRITO,TAMPICO,2022,19,1,0,0,2022-19
DISTRITO,TAMPICO,2022,20,1,1,0,2022-20
DISTRITO,TAMPICO,2022,21,2,0,0,2022-21
DISTRITO,TECAMAC,2022,19,1,1,0,2022-19
DISTRITO,TECAMAC,2022,20,3,0,0,2022-20
DISTRITO,TECAMAC,2022,21,2,0,0,2022-21
DISTRITO,TEXCOCO,2022,19,1,0,0,2022-19
DISTRITO,TEXCOCO,2022,20,1,1,0,2022-20
DISTRITO,TEXCOCO,2022,21,2,0,0,2022-21
DISTRITO,TIJ PLAYAS,2022,21,0,0,0,2022-21
DISTRITO,TIJ RIO,2022,19,1,0,0,2022-19
DISTRITO,TIJ RIO,2022,20,3,0,0,2022-20
DISTRITO,TIJ RIO,2022,21,4,1,1,2022-21
DISTRITO,TIJ TECATE,2022,19,3,0,0,2022-19
DISTRITO,TLALNEPANTLA,2022,20,0,0,0,2022-20
