Nivel,NOMBRE,Year,SEMANA_REGISTRO,80-20,Actividades multiples,Armado de conectores Prepulidos,Armado de conectores RJ45,Como subir tu venta en FFM,Consumo de Materiales,De Técnico a experto en Servicio a Domicilio,Entrega de Servicios,Justificación de Materiales,Plan de Vida y Carrera,Proceso de instalación,Proceso de Instalación (Enfoque a Calidad),Productividad,Reincidencias y revisión de herramientas (impartido 06 de junio 2022),"Trayectoría, alturas y Flejados",Trayectorías,Venta Técnico,Ventas,Year_Semana
DISTRITO,TLALNEPANTLA,2022,25,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-25
DISTRITO,TLALPAN,2022,25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2022-25
DISTRITO,XOCHIMILCO,2022,25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2022-25
DISTRITO,TOL METEPEC,2022,25,0,0,2,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,2022-25
DISTRITO,TOL SAN CARLOS,2022,25,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,2022-25
DISTRITO,HERMOSILLO,2022,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2022-25
DISTRITO,MATAMOROS,2022,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-25
DISTRITO,TIJ TECATE,2022,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-25
DISTRITO,GDL CHAPULTEPEC,2022,25,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2022-25
DISTRITO,GDL ESTADIO,2022,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-25
DISTRITO,GDL LA PRIMAVERA,2022,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2022-25
DISTRITO,CERRO GORDO,2022,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2022-25
DISTRITO,MORELIA,2022,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2022-25
DISTRITO,QUERETARO SANTIAGO,2022,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-25
DISTRITO,MERIDA NORTE,2022,25,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2022-25
DISTRITO,PACHUCA,2022,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2022-25
DISTRITO,PUE LA NORIA,2022,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-25
