Tipo,DIRECCION,Mes,�rdenes completas Soportes,Ticket Repetido,PorcentajeTR
DISTRITO,IRAPUATO,2,715,39,0.054545455
DISTRITO,IRAPUATO,3,974,54,0.055441478
DISTRITO,IRAPUATO,4,859,57,0.066356228
DISTRITO,IRAPUATO,5,931,51,0.054779807
DISTRITO,IZTAPALAPA,1,1374,116,0.084425036
DISTRITO,IZTAPALAPA,2,1325,83,0.062641509
DISTRITO,IZTAPALAPA,3,1505,115,0.07641196
DISTRITO,IZTAPALAPA,4,1506,131,0.086985392
DISTRITO,IZTAPALAPA,5,1796,139,0.077394209
DISTRITO,JUAREZ NORTE,1,4047,1005,0.248332098
DISTRITO,JUAREZ NORTE,2,3691,919,0.248984015
DISTRITO,JUAREZ NORTE,3,4140,866,0.209178744
DISTRITO,JUAREZ NORTE,4,4447,982,0.220823027
DISTRITO,JUAREZ NORTE,5,4035,818,0.202726146
DISTRITO,JUAREZ SUR,1,3360,630,0.1875
DISTRITO,JUAREZ SUR,2,3214,588,0.182949596
DISTRITO,JUAREZ SUR,3,3554,542,0.152504221
DISTRITO,JUAREZ SUR,4,3572,480,0.134378499
DISTRITO,JUAREZ SUR,5,3153,368,0.11671424
DISTRITO,LA LAGUNA GOMEZ,1,619,58,0.093699515
DISTRITO,LA LAGUNA GOMEZ,2,692,55,0.079479769
DISTRITO,LA LAGUNA GOMEZ,3,916,81,0.088427948
DISTRITO,LA LAGUNA GOMEZ,4,868,81,0.093317972
DISTRITO,LA LAGUNA GOMEZ,5,976,95,0.097336066
DISTRITO,LA LAGUNA TORREON,1,845,69,0.081656805
DISTRITO,LA LAGUNA TORREON,2,824,92,0.111650485
DISTRITO,LA LAGUNA TORREON,3,789,65,0.082382763
DISTRITO,LA LAGUNA TORREON,4,958,86,0.089770355
DISTRITO,LA LAGUNA TORREON,5,1081,106,0.098057354
DISTRITO,LAS AGUILAS,1,830,81,0.097590361
DISTRITO,LAS AGUILAS,2,894,91,0.101789709
DISTRITO,LAS AGUILAS,3,902,79,0.087583149
DISTRITO,LAS AGUILAS,4,838,64,0.076372315
DISTRITO,LAS AGUILAS,5,920,65,0.070652174
DISTRITO,LOS MOCHIS,1,314,24,0.076433121
DISTRITO,LOS MOCHIS,2,279,16,0.05734767
DISTRITO,LOS MOCHIS,3,364,19,0.052197802
DISTRITO,LOS MOCHIS,4,363,24,0.066115702
DISTRITO,LOS MOCHIS,5,398,28,0.070351759
DISTRITO,LOS REYES,1,858,37,0.043123543
DISTRITO,LOS REYES,2,836,49,0.05861244
DISTRITO,LOS REYES,3,940,42,0.044680851
DISTRITO,LOS REYES,4,750,38,0.050666667
DISTRITO,LOS REYES,5,951,44,0.046267087
DISTRITO,MATAMOROS,5,51,1,0.019607843
DISTRITO,MAZATLAN,1,784,84,0.107142857
DISTRITO,MAZATLAN,2,684,75,0.109649123
DISTRITO,MAZATLAN,3,726,62,0.085399449
DISTRITO,MAZATLAN,4,616,52,0.084415584
DISTRITO,MAZATLAN,5,710,55,0.077464789
DISTRITO,MERIDA NORTE,1,1268,173,0.136435331
DISTRITO,MERIDA NORTE,2,1203,146,0.121363259
DISTRITO,MERIDA NORTE,3,1412,173,0.122521246
DISTRITO,MERIDA NORTE,4,1158,131,0.113126079
DISTRITO,MERIDA NORTE,5,1161,159,0.136950904
DISTRITO,MERIDA SUR,1,881,73,0.082860386
DISTRITO,MERIDA SUR,2,935,86,0.09197861
DISTRITO,MERIDA SUR,3,1257,119,0.094669849
DISTRITO,MERIDA SUR,4,1218,119,0.097701149
DISTRITO,MERIDA SUR,5,1051,81,0.077069458
