DIRECCION,Fecha_Descarga,CDD,ADDON,Soportes,Instalaciones,Recolecciones
NORTE-NORESTE,12/06/2021,847,754,1064,1930,1142
NORTE-NORESTE,13/06/2021,832,749,1038,1689,1241
NORTE-NORESTE,14/06/2021,782,714,1057,1443,1214
NORTE-NORESTE,15/06/2021,826,783,1125,1772,1200
NORTE-NORESTE,16/06/2021,831,796,1188,1850,1272
NORTE-NORESTE,17/06/2021,859,793,1269,1930,1248
NORTE-NORESTE,18/06/2021,900,735,1319,1975,1276
NORTE-NORESTE,19/06/2021,906,750,1220,1958,1267
NORTE-NORESTE,20/06/2021,878,707,1139,1601,1283
NORTE-NORESTE,21/06/2021,848,674,1110,1316,1280
NORTE-NORESTE,22/06/2021,892,711,1244,1518,1258
NORTE-NORESTE,23/06/2021,881,739,1309,1755,1311
NORTE-NORESTE,24/06/2021,889,722,1185,2008,1313
NORTE-NORESTE,25/06/2021,930,739,1158,2145,1361
NORTE-NORESTE,26/06/2021,985,769,1257,2221,1400
NORTE-NORESTE,27/06/2021,998,757,1173,2011,1443
NORTE-NORESTE,28/06/2021,970,733,1176,1705,1438
NORTE-NORESTE,29/06/2021,1024,748,1487,2041,1415
NORTE-NORESTE,30/06/2021,1082,747,1787,2096,1446
NORTE-NORESTE,01/07/2021,1149,786,1877,1980,1504
NORTE-NORESTE,02/07/2021,1199,830,2049,2009,1609
NORTE-NORESTE,03/07/2021,1240,863,2108,2177,1606
NORTE-NORESTE,04/07/2021,1298,835,2133,1837,1619
NORTE-NORESTE,05/07/2021,1300,812,2141,1550,1632
NORTE-NORESTE,06/07/2021,1307,902,2133,1698,1566
NORTE-NORESTE,07/07/2021,1301,926,2213,1827,1567
NORTE-NORESTE,08/07/2021,1291,913,2185,1951,1457
NORTE-NORESTE,09/07/2021,1302,919,2091,2054,1488
NORTE-NORESTE,10/07/2021,1300,892,2011,2165,1468
NORTE-NORESTE,11/07/2021,1290,883,1875,1915,1455
NORTE-NORESTE,12/07/2021,1242,807,1714,1603,1470
NORTE-NORESTE,13/07/2021,1169,825,1873,1820,1424
NORTE-NORESTE,14/07/2021,1122,863,1805,2124,1444
NORTE-NORESTE,15/07/2021,1113,886,1808,2166,1489
NORTE-NORESTE,16/07/2021,1094,895,1811,2174,1512
NORTE-NORESTE,17/07/2021,1127,903,1751,2157,1551
NORTE-NORESTE,18/07/2021,1076,799,1586,1783,1491
NORTE-NORESTE,19/07/2021,1058,772,1575,1527,1447
NORTE-NORESTE,20/07/2021,997,778,1639,1688,1359
NORTE-NORESTE,21/07/2021,936,740,1589,1673,1341
NORTE-NORESTE,22/07/2021,923,701,1428,1959,1327
NORTE-NORESTE,23/07/2021,955,803,1417,2059,1380
NORTE-NORESTE,24/07/2021,1015,800,1372,2060,1424
NORTE-NORESTE,25/07/2021,1013,792,1268,1758,1410
NORTE-NORESTE,26/07/2021,962,757,1263,1549,1401
NORTE-NORESTE,27/07/2021,965,756,1417,1781,1347
NORTE-NORESTE,28/07/2021,987,791,1319,1901,1397
NORTE-NORESTE,29/07/2021,1003,815,1161,1969,1390
NORTE-NORESTE,30/07/2021,1035,852,1421,2133,1354
NORTE-NORESTE,31/07/2021,1078,873,1431,1962,1416
NORTE-NORESTE,01/08/2021,1068,880,1414,1596,1451
NORTE-NORESTE,02/08/2021,1050,882,1308,1476,1472
NORTE-NORESTE,03/08/2021,1123,982,1484,1732,1526
NORTE-NORESTE,04/08/2021,1155,1021,1455,1895,1600
NORTE-NORESTE,05/08/2021,1143,1010,1441,2051,1587
NORTE-NORESTE,06/08/2021,1127,992,1380,2001,1603
NORTE-NORESTE,07/08/2021,1113,973,1369,2151,1568
NORTE-NORESTE,08/08/2021,1093,983,1262,1937,1534
NORTE-NORESTE,09/08/2021,1043,886,1093,1578,1495
NORTE-NORESTE,10/08/2021,997,880,1157,1913,1481
NORTE-NORESTE,11/08/2021,1000,886,1183,2054,1535
NORTE-NORESTE,12/08/2021,993,951,1176,2152,1574
NORTE-NORESTE,13/08/2021,962,939,1126,2343,1558
NORTE-NORESTE,14/08/2021,993,937,1170,2446,1563
NORTE-NORESTE,15/08/2021,981,870,1308,2177,1531
NORTE-NORESTE,16/08/2021,971,892,1281,1713,1537
NORTE-NORESTE,17/08/2021,1003,918,1414,1858,1512
NORTE-NORESTE,18/08/2021,1015,945,1575,1960,1548
NORTE-NORESTE,19/08/2021,982,1012,1600,2278,1556
NORTE-NORESTE,20/08/2021,942,1039,1574,2319,1611
NORTE-NORESTE,21/08/2021,932,1047,1592,2375,1650
NORTE-NORESTE,22/08/2021,942,1059,1481,2194,1639
NORTE-NORESTE,23/08/2021,969,1024,1329,1853,1640
NORTE-NORESTE,24/08/2021,976,1031,1371,2197,1619
NORTE-NORESTE,25/08/2021,1031,1079,1371,2489,1689
NORTE-NORESTE,26/08/2021,1095,1112,1338,2717,1715
NORTE-NORESTE,27/08/2021,1180,1120,1295,2933,1717
NORTE-NORESTE,28/08/2021,1225,1131,1259,3152,1797
NORTE-NORESTE,30/08/2021,1264,1168,1244,2376,1849
NORTE-NORESTE,31/08/2021,1363,1214,1350,2695,1856
NORTE-NORESTE,01/09/2021,1442,1337,1427,2833,1968
NORTE-NORESTE,02/09/2021,1458,1469,1436,3210,2017
NORTE-NORESTE,03/09/2021,1461,1526,1396,3564,2089
NORTE-NORESTE,04/09/2021,1536,1602,1570,3622,2109
NORTE-NORESTE,05/09/2021,1657,1769,1544,3147,2191
NORTE-NORESTE,06/09/2021,1703,1801,1325,2518,2264
NORTE-NORESTE,07/09/2021,1691,1751,1473,3034,2284
NORTE-NORESTE,08/09/2021,1675,1792,1434,3143,2350
NORTE-NORESTE,09/09/2021,1606,1847,1531,3557,2416
NORTE-NORESTE,10/09/2021,1588,1925,1501,3672,2518
NORTE-NORESTE,11/09/2021,1535,1966,1300,3672,2596
NORTE-NORESTE,12/09/2021,1544,1907,1144,3238,2668
