Tipo,DIRECCION,Mes,�rdenes completas Soportes,Ticket Repetido,PorcentajeTR
DISTRITO,GDL LA PRIMAVERA,1,3220,576,0.178881988
DISTRITO,GDL LA PRIMAVERA,2,3005,446,0.148419301
DISTRITO,GDL LA PRIMAVERA,3,2901,346,0.119269218
DISTRITO,GDL LA PRIMAVERA,4,3176,412,0.129722922
DISTRITO,GDL LAZARO CARDENAS,1,3482,623,0.178920161
DISTRITO,GDL LAZARO CARDENAS,2,3707,557,0.150256272
DISTRITO,GDL LAZARO CARDENAS,3,4321,666,0.154130988
DISTRITO,GDL LAZARO CARDENAS,4,4272,710,0.166198502
DISTRITO,GDL LOPEZ MATEOS,1,3826,845,0.220857292
DISTRITO,GDL LOPEZ MATEOS,2,3482,690,0.198161976
DISTRITO,GDL LOPEZ MATEOS,3,4494,802,0.178460169
DISTRITO,GDL LOPEZ MATEOS,4,4108,822,0.200097371
DISTRITO,GUADALUPE TEPEYAC,1,1436,148,0.103064067
DISTRITO,GUADALUPE TEPEYAC,2,1432,133,0.092877095
DISTRITO,GUADALUPE TEPEYAC,3,1576,112,0.07106599
DISTRITO,GUADALUPE TEPEYAC,4,1581,145,0.091714105
DISTRITO,GUANAJUATO,1,400,34,0.085
DISTRITO,GUANAJUATO,2,454,27,0.059471366
DISTRITO,GUANAJUATO,3,567,26,0.045855379
DISTRITO,GUANAJUATO,4,618,32,0.051779935
DISTRITO,HERMOSILLO,1,790,73,0.092405063
DISTRITO,HERMOSILLO,2,661,57,0.08623298
DISTRITO,HERMOSILLO,3,919,88,0.095756257
DISTRITO,HERMOSILLO,4,1052,82,0.077946768
DISTRITO,HUEHUETOCA,1,415,34,0.081927711
DISTRITO,HUEHUETOCA,2,435,42,0.096551724
DISTRITO,HUEHUETOCA,3,454,29,0.063876652
DISTRITO,HUEHUETOCA,4,493,40,0.081135903
DISTRITO,IRAPUATO,1,887,76,0.085682074
DISTRITO,IRAPUATO,2,715,39,0.054545455
DISTRITO,IRAPUATO,3,974,54,0.055441478
DISTRITO,IRAPUATO,4,859,57,0.066356228
DISTRITO,IZTAPALAPA,1,1374,116,0.084425036
DISTRITO,IZTAPALAPA,2,1325,83,0.062641509
DISTRITO,IZTAPALAPA,3,1505,115,0.07641196
DISTRITO,IZTAPALAPA,4,1506,131,0.086985392
DISTRITO,JUAREZ NORTE,1,4047,1005,0.248332098
DISTRITO,JUAREZ NORTE,2,3691,920,0.249254944
DISTRITO,JUAREZ NORTE,3,4140,866,0.209178744
DISTRITO,JUAREZ NORTE,4,4445,981,0.220697413
DISTRITO,JUAREZ SUR,1,3360,630,0.1875
DISTRITO,JUAREZ SUR,2,3214,588,0.182949596
DISTRITO,JUAREZ SUR,3,3554,542,0.152504221
DISTRITO,JUAREZ SUR,4,3572,480,0.134378499
DISTRITO,LA LAGUNA GOMEZ,1,619,58,0.093699515
DISTRITO,LA LAGUNA GOMEZ,2,692,55,0.079479769
DISTRITO,LA LAGUNA GOMEZ,3,916,81,0.088427948
DISTRITO,LA LAGUNA GOMEZ,4,868,81,0.093317972
DISTRITO,LA LAGUNA TORREON,1,845,69,0.081656805
DISTRITO,LA LAGUNA TORREON,2,824,92,0.111650485
DISTRITO,LA LAGUNA TORREON,3,789,65,0.082382763
DISTRITO,LA LAGUNA TORREON,4,958,86,0.089770355
DISTRITO,LAS AGUILAS,1,830,81,0.097590361
DISTRITO,LAS AGUILAS,2,894,91,0.101789709
DISTRITO,LAS AGUILAS,3,902,79,0.087583149
DISTRITO,LAS AGUILAS,4,838,64,0.076372315
DISTRITO,LOS MOCHIS,1,314,24,0.076433121
DISTRITO,LOS MOCHIS,2,279,16,0.05734767
DISTRITO,LOS MOCHIS,3,364,19,0.052197802
DISTRITO,LOS MOCHIS,4,363,24,0.066115702
DISTRITO,LOS REYES,1,858,37,0.043123543
DISTRITO,LOS REYES,2,836,49,0.05861244
DISTRITO,LOS REYES,3,940,42,0.044680851
DISTRITO,LOS REYES,4,750,38,0.050666667
DISTRITO,MAZATLAN,1,784,84,0.107142857
DISTRITO,MAZATLAN,2,684,75,0.109649123
DISTRITO,MAZATLAN,3,726,62,0.085399449
DISTRITO,MAZATLAN,4,616,52,0.084415584
DISTRITO,MERIDA NORTE,1,1268,173,0.136435331
DISTRITO,MERIDA NORTE,2,1204,146,0.121262458
DISTRITO,MERIDA NORTE,3,1412,173,0.122521246
DISTRITO,MERIDA NORTE,4,1158,131,0.113126079
DISTRITO,MERIDA SUR,1,881,73,0.082860386
DISTRITO,MERIDA SUR,2,935,86,0.09197861
DISTRITO,MERIDA SUR,3,1257,119,0.094669849
DISTRITO,MERIDA SUR,4,1218,119,0.097701149
DISTRITO,MEXICALI,1,942,66,0.070063694
DISTRITO,MEXICALI,2,974,86,0.088295688
DISTRITO,MEXICALI,3,1210,90,0.074380165
DISTRITO,MEXICALI,4,1068,97,0.09082397
DISTRITO,MORELIA,1,573,29,0.05061082
DISTRITO,MORELIA,2,530,38,0.071698113
DISTRITO,MORELIA,3,640,41,0.0640625
DISTRITO,MORELIA,4,604,33,0.054635762
DISTRITO,MTY AEROPUERTO,1,532,69,0.129699248
DISTRITO,MTY AEROPUERTO,2,609,105,0.172413793
DISTRITO,MTY AEROPUERTO,3,672,119,0.177083333
DISTRITO,MTY AEROPUERTO,4,773,175,0.226390686
DISTRITO,MTY CARRETERA NACIONAL,1,908,169,0.186123348
DISTRITO,MTY CARRETERA NACIONAL,2,1226,191,0.155791191
DISTRITO,MTY CARRETERA NACIONAL,3,1212,229,0.188943894
DISTRITO,MTY CARRETERA NACIONAL,4,1193,231,0.193629505
DISTRITO,MTY CERRO DE LA SILLA,1,1570,230,0.146496815
DISTRITO,MTY CERRO DE LA SILLA,2,1428,207,0.144957983
DISTRITO,MTY CERRO DE LA SILLA,3,1462,169,0.115595075
DISTRITO,MTY CERRO DE LA SILLA,4,1500,193,0.128666667
DISTRITO,MTY GARCIA,1,1274,194,0.152276295
DISTRITO,MTY GARCIA,2,1373,247,0.179898034
DISTRITO,MTY GARCIA,3,1376,227,0.16497093
DISTRITO,MTY GARCIA,4,1392,213,0.153017241
DISTRITO,MTY MITRAS,1,1766,284,0.160815402
DISTRITO,MTY MITRAS,2,1461,257,0.175906913
DISTRITO,MTY MITRAS,3,1813,273,0.150579151
