Fecha,Distrito,Tiempo Prom. Traslado (Sin 1 era),Tiempo sumT traslado sin1ra24,n traslados sin1ra
11/03/2024,PEDREGAL,00:31,2.677777778,121
12/03/2024,PEDREGAL,00:35,3.026388889,124
13/03/2024,PEDREGAL,00:33,3.222222222,137
14/03/2024,PEDREGAL,00:30,2.813888889,131
15/03/2024,PEDREGAL,00:30,2.36875,113
16/03/2024,PEDREGAL,00:33,2.669444444,116
17/03/2024,PEDREGAL,00:31,1.665277778,75
18/03/2024,PEDREGAL,00:30,2.020833333,95
19/03/2024,PEDREGAL,00:31,2.323611111,107
20/03/2024,PEDREGAL,00:38,3.336111111,124
21/03/2024,PEDREGAL,00:30,2.190972222,102
22/03/2024,PEDREGAL,00:29,2.427777778,118
23/03/2024,PEDREGAL,00:32,2.400694444,106
24/03/2024,PEDREGAL,00:29,1.225,60
25/03/2024,PEDREGAL,00:32,2.584027778,113
26/03/2024,PEDREGAL,00:35,2.273611111,92
27/03/2024,PEDREGAL,00:31,2.461805556,111
28/03/2024,PEDREGAL,00:36,2.547916667,101
29/03/2024,PEDREGAL,00:27,2.080555556,109
30/03/2024,PEDREGAL,00:27,2.181944444,113
31/03/2024,PEDREGAL,00:32,1.338888889,59
01/04/2024,PEDREGAL,00:31,2.325,105
01/11/2023,PORTALES,00:31,2.968055556,137
02/11/2023,PORTALES,00:24,2.952083333,176
03/11/2023,PORTALES,00:27,3.317361111,174
04/11/2023,PORTALES,00:27,2.875,151
05/11/2023,PORTALES,00:23,3.328472222,201
06/11/2023,PORTALES,00:34,4.75625,201
07/11/2023,PORTALES,00:32,4.564583333,203
08/11/2023,PORTALES,00:36,5.188194444,204
09/11/2023,PORTALES,00:32,4.077083333,181
10/11/2023,PORTALES,00:30,3.515972222,167
11/11/2023,PORTALES,00:30,3.852777778,184
12/11/2023,PORTALES,00:28,3.213194444,162
13/11/2023,PORTALES,00:28,3.560416667,182
14/11/2023,PORTALES,00:30,3.660416667,175
15/11/2023,PORTALES,00:33,4.197916667,178
16/11/2023,PORTALES,00:34,4.245833333,176
17/11/2023,PORTALES,00:33,4.696527778,202
18/11/2023,PORTALES,00:33,3.89375,167
19/11/2023,PORTALES,00:26,3.204166667,171
20/11/2023,PORTALES,00:33,4.198611111,182
21/11/2023,PORTALES,00:31,4.054861111,187
22/11/2023,PORTALES,00:32,5.197222222,228
23/11/2023,PORTALES,00:30,4.836111111,228
24/11/2023,PORTALES,00:38,5.740277778,217
25/11/2023,PORTALES,00:30,3.86875,180
26/11/2023,PORTALES,00:28,3.177083333,158
27/11/2023,PORTALES,00:32,3.714583333,165
28/11/2023,PORTALES,00:35,4.65625,190
29/11/2023,PORTALES,00:36,4.335416667,173
30/11/2023,PORTALES,00:31,4.761805556,215
01/12/2023,PORTALES,00:35,4.1,166
02/12/2023,PORTALES,00:33,3.952777778,171
03/12/2023,PORTALES,00:28,3.014583333,151
04/12/2023,PORTALES,00:33,4.746527778,204
05/12/2023,PORTALES,00:35,4.251388889,174
06/12/2023,PORTALES,00:35,4.539583333,185
07/12/2023,PORTALES,00:34,4.798611111,202
08/12/2023,PORTALES,00:35,4.499305556,182
09/12/2023,PORTALES,00:33,3.656944444,156
10/12/2023,PORTALES,00:31,3.569444444,163
11/12/2023,PORTALES,00:35,4.476388889,184
12/12/2023,PORTALES,00:33,4.097916667,177
13/12/2023,PORTALES,00:33,3.772222222,163
14/12/2023,PORTALES,00:35,4.011111111,163
15/12/2023,PORTALES,00:37,4.451388889,169
16/12/2023,PORTALES,00:30,3.580555556,168
17/12/2023,PORTALES,00:31,2.575,117
18/12/2023,PORTALES,00:36,4.030555556,158
19/12/2023,PORTALES,00:38,4.321527778,163
20/12/2023,PORTALES,00:41,4.309027778,150
21/12/2023,PORTALES,00:35,4.809722222,194
22/12/2023,PORTALES,00:35,3.120833333,125
23/12/2023,PORTALES,00:36,3.590972222,142
26/12/2023,PORTALES,00:32,3.945833333,173
27/12/2023,PORTALES,00:35,3.949305556,159
28/12/2023,PORTALES,00:38,4.591666667,170
29/12/2023,PORTALES,00:36,4.954166667,196
30/12/2023,PORTALES,00:34,3.625694444,153
02/01/2024,PORTALES,00:26,2.960416667,163
03/01/2024,PORTALES,00:34,4.321527778,180
04/01/2024,PORTALES,00:36,4.484027778,175
05/01/2024,PORTALES,00:31,3.921527778,181
06/01/2024,PORTALES,00:32,3.118055556,138
07/01/2024,PORTALES,00:29,3.129861111,151
08/01/2024,PORTALES,00:32,3.488888889,153
09/01/2024,PORTALES,00:26,3.334722222,178
10/01/2024,PORTALES,00:28,3.647222222,184
11/01/2024,PORTALES,00:37,4.610416667,179
